"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"980","2017/18","E23000028","Essex","Eastern","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"981","2017/18","E23000037","Gloucestershire","South West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"982","2017/18","E23000037","Gloucestershire","South West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"983","2017/18","E23000037","Gloucestershire","South West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 7 "
"984","2017/18","E23000037","Gloucestershire","South West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"985","2017/18","E23000037","Gloucestershire","South West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"986","2017/18","E23000037","Gloucestershire","South West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 6 "
"987","2017/18","E23000037","Gloucestershire","South West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 13 "
"988","2017/18","E23000037","Gloucestershire","South West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 147 "
"989","2017/18","E23000037","Gloucestershire","South West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"990","2017/18","E23000037","Gloucestershire","South West","Male","White","Unknown","2015/16 onwards - Sexual offences"," - "
"991","2017/18","E23000005","Greater Manchester","North West","Female","White","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"992","2017/18","E23000005","Greater Manchester","North West","Female","White","18 - 20 years","2015/16 onwards - Sexual offences"," 3 "
"993","2017/18","E23000005","Greater Manchester","North West","Female","White","21 years and over","2015/16 onwards - Sexual offences"," 17 "
"994","2017/18","E23000005","Greater Manchester","North West","Female","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
"995","2017/18","E23000005","Greater Manchester","North West","Female","White","Unknown","2015/16 onwards - Sexual offences"," - "
"996","2017/18","E23000005","Greater Manchester","North West","Male","White","10 - 17 years","2015/16 onwards - Sexual offences"," 75 "
"997","2017/18","E23000005","Greater Manchester","North West","Male","White","18 - 20 years","2015/16 onwards - Sexual offences"," 94 "
"998","2017/18","E23000005","Greater Manchester","North West","Male","White","21 years and over","2015/16 onwards - Sexual offences"," 999 "
"999","2017/18","E23000005","Greater Manchester","North West","Male","White","Under 10 years","2015/16 onwards - Sexual offences"," - "
