"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"530","2016/17","E23000008","Durham","North East","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"531","2016/17","W15000004","Dyfed-Powys","Wales","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"532","2016/17","W15000004","Dyfed-Powys","Wales","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"533","2016/17","W15000004","Dyfed-Powys","Wales","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"534","2016/17","W15000004","Dyfed-Powys","Wales","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"535","2016/17","W15000004","Dyfed-Powys","Wales","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"536","2016/17","W15000004","Dyfed-Powys","Wales","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"537","2016/17","W15000004","Dyfed-Powys","Wales","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"538","2016/17","W15000004","Dyfed-Powys","Wales","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 9 "
"539","2016/17","W15000004","Dyfed-Powys","Wales","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"540","2016/17","W15000004","Dyfed-Powys","Wales","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"541","2016/17","E23000028","Essex","Eastern","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"542","2016/17","E23000028","Essex","Eastern","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"543","2016/17","E23000028","Essex","Eastern","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"544","2016/17","E23000028","Essex","Eastern","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"545","2016/17","E23000028","Essex","Eastern","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"546","2016/17","E23000028","Essex","Eastern","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"547","2016/17","E23000028","Essex","Eastern","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"548","2016/17","E23000028","Essex","Eastern","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 11 "
"549","2016/17","E23000028","Essex","Eastern","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"550","2016/17","E23000028","Essex","Eastern","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"551","2016/17","E23000037","Gloucestershire","South West","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"552","2016/17","E23000037","Gloucestershire","South West","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"553","2016/17","E23000037","Gloucestershire","South West","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"554","2016/17","E23000037","Gloucestershire","South West","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"555","2016/17","E23000037","Gloucestershire","South West","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"556","2016/17","E23000037","Gloucestershire","South West","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"557","2016/17","E23000037","Gloucestershire","South West","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"558","2016/17","E23000037","Gloucestershire","South West","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 7 "
"559","2016/17","E23000037","Gloucestershire","South West","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"560","2016/17","E23000037","Gloucestershire","South West","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"561","2016/17","E23000005","Greater Manchester","North West","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"562","2016/17","E23000005","Greater Manchester","North West","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"563","2016/17","E23000005","Greater Manchester","North West","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 2 "
"564","2016/17","E23000005","Greater Manchester","North West","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"565","2016/17","E23000005","Greater Manchester","North West","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"566","2016/17","E23000005","Greater Manchester","North West","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 6 "
"567","2016/17","E23000005","Greater Manchester","North West","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 16 "
"568","2016/17","E23000005","Greater Manchester","North West","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 221 "
"569","2016/17","E23000005","Greater Manchester","North West","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"570","2016/17","E23000005","Greater Manchester","North West","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"571","2016/17","W15000002","Gwent","Wales","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"572","2016/17","W15000002","Gwent","Wales","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"573","2016/17","W15000002","Gwent","Wales","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 1 "
"574","2016/17","W15000002","Gwent","Wales","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"575","2016/17","W15000002","Gwent","Wales","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"576","2016/17","W15000002","Gwent","Wales","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"577","2016/17","W15000002","Gwent","Wales","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"578","2016/17","W15000002","Gwent","Wales","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 6 "
"579","2016/17","W15000002","Gwent","Wales","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"580","2016/17","W15000002","Gwent","Wales","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"581","2016/17","E23000030","Hampshire","South East","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"582","2016/17","E23000030","Hampshire","South East","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"583","2016/17","E23000030","Hampshire","South East","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"584","2016/17","E23000030","Hampshire","South East","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"585","2016/17","E23000030","Hampshire","South East","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"586","2016/17","E23000030","Hampshire","South East","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 5 "
"587","2016/17","E23000030","Hampshire","South East","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 3 "
"588","2016/17","E23000030","Hampshire","South East","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 34 "
"589","2016/17","E23000030","Hampshire","South East","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"590","2016/17","E23000030","Hampshire","South East","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"591","2016/17","E23000027","Hertfordshire","Eastern","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"592","2016/17","E23000027","Hertfordshire","Eastern","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"593","2016/17","E23000027","Hertfordshire","Eastern","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"594","2016/17","E23000027","Hertfordshire","Eastern","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"595","2016/17","E23000027","Hertfordshire","Eastern","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"596","2016/17","E23000027","Hertfordshire","Eastern","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"597","2016/17","E23000027","Hertfordshire","Eastern","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"598","2016/17","E23000027","Hertfordshire","Eastern","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 33 "
"599","2016/17","E23000027","Hertfordshire","Eastern","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"600","2016/17","E23000027","Hertfordshire","Eastern","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"601","2016/17","E23000012","Humberside","Yorkshire and the Humber","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"602","2016/17","E23000012","Humberside","Yorkshire and the Humber","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"603","2016/17","E23000012","Humberside","Yorkshire and the Humber","Female","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," - "
"604","2016/17","E23000012","Humberside","Yorkshire and the Humber","Female","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"605","2016/17","E23000012","Humberside","Yorkshire and the Humber","Female","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"606","2016/17","E23000012","Humberside","Yorkshire and the Humber","Male","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"607","2016/17","E23000012","Humberside","Yorkshire and the Humber","Male","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," 2 "
"608","2016/17","E23000012","Humberside","Yorkshire and the Humber","Male","Asian or Asian British","21 years and over","2015/16 onwards - Sexual offences"," 9 "
"609","2016/17","E23000012","Humberside","Yorkshire and the Humber","Male","Asian or Asian British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"610","2016/17","E23000012","Humberside","Yorkshire and the Humber","Male","Asian or Asian British","Unknown","2015/16 onwards - Sexual offences"," - "
"611","2016/17","E23000032","Kent","South East","Female","Asian or Asian British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"612","2016/17","E23000032","Kent","South East","Female","Asian or Asian British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
