"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1395","2018/19","W15000004","Dyfed-Powys","Wales","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1396","2018/19","W15000004","Dyfed-Powys","Wales","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1397","2018/19","W15000004","Dyfed-Powys","Wales","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1398","2018/19","W15000004","Dyfed-Powys","Wales","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 5 "
"1399","2018/19","W15000004","Dyfed-Powys","Wales","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1400","2018/19","W15000004","Dyfed-Powys","Wales","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1401","2018/19","E23000028","Essex","Eastern","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1402","2018/19","E23000028","Essex","Eastern","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1403","2018/19","E23000028","Essex","Eastern","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1404","2018/19","E23000028","Essex","Eastern","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1405","2018/19","E23000028","Essex","Eastern","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1406","2018/19","E23000028","Essex","Eastern","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 6 "
"1407","2018/19","E23000028","Essex","Eastern","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 6 "
"1408","2018/19","E23000028","Essex","Eastern","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 41 "
"1409","2018/19","E23000028","Essex","Eastern","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1410","2018/19","E23000028","Essex","Eastern","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1411","2018/19","E23000037","Gloucestershire","South West","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1412","2018/19","E23000037","Gloucestershire","South West","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1413","2018/19","E23000037","Gloucestershire","South West","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1414","2018/19","E23000037","Gloucestershire","South West","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1415","2018/19","E23000037","Gloucestershire","South West","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1416","2018/19","E23000037","Gloucestershire","South West","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 1 "
"1417","2018/19","E23000037","Gloucestershire","South West","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1418","2018/19","E23000037","Gloucestershire","South West","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 11 "
"1419","2018/19","E23000037","Gloucestershire","South West","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1420","2018/19","E23000037","Gloucestershire","South West","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
